,League,Division,Number of Players
0,Rookie,1,25488
1,Rookie,2,9533
2,Rookie,3,10032
3,Rookie,4,8838
4,Rookie,5,8440
5,Iron,1,37659
6,Iron,2,20799
7,Iron,3,21801
8,Iron,4,19001
9,Iron,5,12305
10,Bronze,1,32764
11,Bronze,2,21856
12,Bronze,3,23347
13,Bronze,4,21490
14,Bronze,5,13530
15,Silver,1,54438
16,Silver,2,33075
17,Silver,3,32470
18,Silver,4,27943
19,Silver,5,17249
20,Gold,1,46255
21,Gold,2,26204
22,Gold,3,25115
23,Gold,4,23569
24,Gold,5,29129
25,Platinum,1,89116
26,Platinum,2,38187
27,Platinum,3,29974
28,Platinum,4,23066
29,Platinum,5,21659
30,Diamond,1,36983
31,Diamond,2,13464
32,Diamond,3,9948
33,Diamond,4,6512
34,Diamond,5,3715
35,Master,1,45786
